comm_sz,dim,pop_size,n_iter,seed,time,best_value
1,30,50,1000,1744195368,1.329030275344849,165769.745573345251614
1,30,100,1000,1744195369,4.858154296875000,59044.882206985930679
1,30,200,1000,1744195374,18.354497194290161,22576.172735199503222
1,30,400,1000,1744195393,70.882413625717163,9774.955660269864893
1,30,800,1000,1744195464,277.809851408004761,6412.284221688149955
1,30,1600,1000,1744195742,1098.999071598052979,3520.269512131683314
1,30,3200,1000,1744196841,4403.403835058212280,908.079907197254215
1,30,50,1000,1744195368,1.324079036712646,165769.745573345251614
1,30,100,1000,1744195369,4.840514421463013,59044.882206985930679
1,30,200,1000,1744195374,18.352587699890137,22576.172735199503222
1,30,400,1000,1744195393,70.834473371505737,9774.955660269864893
1,30,800,1000,1744195464,277.902813911437988,6412.284221688149955
1,30,1600,1000,1744195742,1099.253401756286621,3520.269512131683314
1,30,3200,1000,1744196841,4370.239653110504150,908.079907197254215
1,30,50,1000,1744195368,1.326630830764771,165769.745573345251614
1,30,100,1000,1744195369,4.854789972305298,59044.882206985930679
1,30,200,1000,1744195374,18.314209222793579,22576.172735199503222
1,30,400,1000,1744195393,70.994393348693848,9774.955660269864893
1,30,800,1000,1744195464,277.805924177169800,6412.284221688149955
1,30,1600,1000,1744195742,1100.123168706893921,3520.269512131683314
1,30,3200,1000,1744196842,4370.436159372329712,579.790960112700759
1,30,50,1000,1744195368,1.324946641921997,165769.745573345251614
1,30,100,1000,1744195369,4.842634916305542,59044.882206985930679
1,30,200,1000,1744195374,18.338502407073975,22576.172735199503222
1,30,400,1000,1744195393,70.803939819335938,9774.955660269864893
1,30,800,1000,1744195464,279.008604288101196,6412.284221688149955
1,30,1600,1000,1744195743,1102.013586997985840,5087.882838977054234
1,30,3200,1000,1744196845,4375.305604457855225,2372.157447952736220
1,30,50,1000,1744195368,1.325192213058472,165769.745573345251614
1,30,100,1000,1744195369,4.846251726150513,59044.882206985930679
1,30,200,1000,1744195374,18.304822683334351,22576.172735199503222
1,30,400,1000,1744195393,70.800984859466553,9774.955660269864893
1,30,800,1000,1744195464,277.900680303573608,6412.284221688149955
1,30,1600,1000,1744195742,1099.446674346923828,3520.269512131683314
1,30,3200,1000,1744196842,4375.208137035369873,579.790960112700759
2,30,50,1000,3136700672,0.553112268447876,142414.989624165435089
2,30,100,1000,1523547552,2.058104991912842,69725.026744254719233
2,30,200,1000,4205488952,7.952802181243896,35756.247234601352829
2,30,400,1000,2592675140,31.080244064331055,16300.362088379533816
2,30,800,1000,980836960,122.938835620880127,2868.222309715590200
2,30,1600,1000,1117097201,487.784436225891113,3731.065692342506281
2,30,3200,1000,3144085696,1947.922180175781250,711.331563777232304
2,30,50,1000,1248696176,0.646056890487671,78976.208338234515395
2,30,100,1000,3930535018,2.389190912246704,112401.112604493770050
2,30,200,1000,2317431242,9.194494962692261,36079.321991995602730
2,30,400,1000,704500200,35.982621431350708,16867.810553636882105
2,30,800,1000,3387202832,142.412958145141602,5208.443700365833138
2,30,1600,1000,557556683,565.760717868804932,3700.499213652477920
2,30,3200,1000,3495147871,2254.551974296569824,856.227685522533761
2,30,50,1000,1144586832,0.554368257522583,209651.963967611751286
2,30,100,1000,3826438518,2.058691740036011,54625.205066145383171
2,30,200,1000,2213360430,7.939620971679688,32122.373227093190508
2,30,400,1000,600507466,31.081658363342285,12745.958096762225978
2,30,800,1000,3283484868,123.004632949829102,5769.883769624469096
2,30,1600,1000,3419143147,488.580765724182129,1910.985340740978472
2,30,3200,1000,2893009634,1954.371862649917603,441.514117785824283
2,30,50,1000,2304286048,0.552610874176025,172883.870486217696453
