comm_sz,dim,pop_size,n_iter,seed,time,best_value
2,30,400,1000,1165384155,30.373130559921265,11719.913643495898214
2,30,800,1000,3848382140,119.913959026336670,8767.867455520363364
2,30,1600,1000,3308496180,477.581038475036621,3070.394054869529555
2,30,3200,1000,2106969154,1899.402691602706909,702.524560468361642
2,30,50,1000,55335981,0.638115882873535,192696.502220956288511
2,30,100,1000,2737164132,2.349528551101685,71956.022209747941815
2,30,200,1000,1124103105,9.003123998641968,28661.514978219973273
2,30,400,1000,3806243752,35.164565086364746,9063.478029074260121
2,30,800,1000,2194432813,139.209707975387573,7113.056410296008835
2,30,1600,1000,2441368550,551.575248718261719,3317.271316348949767
2,30,3200,1000,3642085892,2212.513715982437134,1318.651035692453206
2,30,50,1000,3367995206,0.636952638626099,97940.039089269514079
2,30,100,1000,1754820552,2.349085330963135,61435.816462223927374
2,30,200,1000,141652998,9.026009082794189,29692.947191776675027
2,30,400,1000,2823474064,35.465575456619263,6154.018130384933102
2,30,800,1000,2279031598,139.922558546066284,6785.040502396425836
2,30,1600,1000,2914071829,553.607502222061157,3131.521753080548024
2,30,3200,1000,4254737818,2201.884643554687500,1209.336259747659369
2,30,50,1000,1243189294,0.638813018798828,163993.538256785075646
2,30,100,1000,3924996968,2.351828575134277,59364.538876172940945
2,30,200,1000,2311874510,9.030912160873413,30832.048602559345454
2,30,400,1000,2443052680,35.189583539962769,9144.901710203841503
2,30,800,1000,830525081,138.921461343765259,5895.525276163463786
2,30,1600,1000,1881203378,551.524903059005737,3932.244270708215936
2,30,3200,1000,3070616864,2198.803788185119629,1760.839731686824507
4,30,50,1000,1829046124,0.382737159729004,98173.922165257783490
4,30,100,1000,2897657036,1.204584360122681,64332.600134148626239
4,30,200,1000,477892979,4.540640592575073,11455.109255472965742
4,30,400,1000,2353109178,17.682702064514160,14240.695916598768235
4,30,800,1000,4228367596,69.660830259323120,5249.817770502000712
4,30,1600,1000,3553013826,276.364246845245361,2326.794907608751146
4,30,3200,1000,851611684,1101.901390790939331,1110.417545981374360
4,30,50,1000,155007152,0.306142568588257,104541.792574038976454
4,30,100,1000,2030207160,1.031726121902466,34298.867005953652551
4,30,200,1000,3905458000,3.909785509109497,47548.113707016906119
4,30,400,1000,1485894070,15.260027885437012,15572.291291447751064
4,30,800,1000,3361856768,60.097640037536621,6594.786936395928933
4,30,1600,1000,945140600,240.572164535522461,1452.175396167179315
4,30,3200,1000,4294248403,950.913522481918335,1637.926659727511151
4,30,50,1000,1060518208,0.365011930465698,67913.057078611716861
4,30,100,1000,2129129120,1.199442625045776,80511.200056834524730
4,30,200,1000,4004344230,4.538263559341431,42282.957851611521619
4,30,400,1000,1584652488,17.657608747482300,14106.431628424934388
4,30,800,1000,2653535536,69.983250617980957,3804.853723898464523
4,30,1600,1000,1979016126,276.418375730514526,2842.816467320002175
4,30,3200,1000,1156089910,1100.980481386184692,524.081873103274688
4,30,50,1000,1424292620,0.301289319992065,167419.174377731251298
4,30,100,1000,3299492628,1.032814741134644,32600.288839180131617
4,30,200,1000,879761009,3.909842729568481,25422.421849597460096
4,30,400,1000,2755103723,15.260470151901245,10050.270932995996191
4,30,800,1000,335871680,60.129642486572266,4184.998149036713585
4,30,1600,1000,2213213028,239.176771879196167,2414.765462067894077
4,30,3200,1000,457075080,951.625362157821655,810.658611646431041
4,30,50,1000,14969692,0.302154064178467,167265.211597536574118
4,30,100,1000,1890169700,1.033704996109009,54900.227161235612584
4,30,200,1000,3765403389,3.929640769958496,45952.102186853262538
4,30,400,1000,1345770855,15.284940242767334,11049.781538609395284
4,30,800,1000,3221476288,60.204332351684570,6851.325264663629241
4,30,1600,1000,2547953940,240.347717285156250,1742.821679899421270
4,30,3200,1000,1597927597,951.573043584823608,430.036001199441159
8,30,50,1000,3029687696,0.186546087265015,201566.003144578397041
8,30,100,1000,3291709592,0.572532892227173,63018.982772876908712
8,30,200,1000,3553754408,2.075081825256348,25518.222992843027896
8,30,400,1000,3815822174,7.873923778533936,8817.241495658783606
8,30,800,1000,4078027620,30.908694744110107,6098.130578778418567
8,30,1600,1000,1789982930,124.373276710510254,1719.431087068637680
8,30,3200,1000,834710248,496.951112270355225,1206.946646500737643
8,30,50,1000,2791272396,0.181026697158813,113117.855468466790626
8,30,100,1000,3053294292,0.570251703262329,38816.370706261892337
8,30,200,1000,3315382799,2.046691179275513,24312.394336986682902
8,30,400,1000,3577537947,7.920222759246826,11500.223878419235916
8,30,800,1000,3840092921,31.339688062667847,3599.784498869936670
8,30,1600,1000,4104180798,125.016059398651123,1379.235660754754690
8,30,3200,1000,1541214854,494.923426151275635,151.930700952797423
8,30,50,1000,1065912876,0.174813985824585,124475.762048193602823
8,30,100,1000,1327934772,0.587151050567627,54130.823823621554766
8,30,200,1000,1590024295,2.103278160095215,24279.922947874878446
8,30,400,1000,1852181475,7.858425855636597,9751.736519754709661
8,30,800,1000,2114744577,30.933909893035889,5213.018587564852169
8,30,1600,1000,2378863950,124.504481792449951,2014.518474058859283
8,30,3200,1000,622546064,491.502776861190796,82.001781036542653
8,30,50,1000,1425774724,0.308950185775757,72431.601444905259996
8,30,100,1000,2625396648,0.989110708236694,41082.598723626084393
8,30,200,1000,2887443340,3.563696384429932,31744.502307109374669
8,30,400,1000,3149564470,13.775196552276611,12528.119439210764540
8,30,800,1000,3411933840,59.856191158294678,6080.976145438079584
8,30,1600,1000,3675420660,237.453616380691528,1463.211362946625059
8,30,3200,1000,3660815968,945.618614435195923,1361.406413625281630
