comm_sz,dim,pop_size,n_iter,seed,time,best_value
64,30,50,1000,2932037270,0.083952426910400,2664819.387927383184433
64,30,100,1000,2091409088,0.121040821075439,3150043.345864835660905
64,30,200,1000,1250720780,0.209689140319824,4789944.089954788796604
64,30,400,1000,410032472,0.398818016052246,4171532.586670611985028
64,30,800,1000,3864371850,0.756226062774658,4037985.308058252558112
64,30,1600,1000,3023744064,1.599687337875366,4029458.864293339196593
64,30,3200,1000,2183116410,2.781844139099121,4762081.302059425041080
32,30,50,1000,2055165162,0.080892086029053,2330278.907301141880453
32,30,100,1000,1231631734,0.125082015991211,2945407.843619598541409
32,30,200,1000,408098306,0.219126701354980,3867503.154925566632301
32,30,400,1000,3879532174,0.425878524780273,4873500.529625648632646
32,30,800,1000,505356928,0.837597370147705,5222091.899965560063720
32,30,1600,1000,3976821968,1.723130702972412,4974371.711787248030305
32,30,3200,1000,3153319780,3.040092706680298,4645935.589531066827476
16,30,50,1000,4079887348,0.085435867309570,3074073.257982618641108
16,30,100,1000,1117447712,0.144280433654785,3562029.639252512715757
16,30,200,1000,2449975372,0.264171361923218,4108781.801131421700120
16,30,400,1000,3782503032,0.543415784835815,4561502.254124942235649
16,30,800,1000,2564391793,1.076932907104492,4268909.824943855404854
16,30,1600,1000,3896953512,2.148164749145508,4561170.627259270288050
16,30,3200,1000,128203490,4.137856483459473,4087964.458248902577907
8,30,50,1000,2717561434,0.111267805099487,2401422.119378909934312
8,30,100,1000,2980635990,0.206295013427734,3708479.861660291440785
8,30,200,1000,3243710546,0.402651071548462,4586347.846813975833356
8,30,400,1000,3506785102,0.812000274658203,4662153.181150882504880
8,30,800,1000,3769875409,1.616622209548950,5527199.183928997255862
8,30,1600,1000,4032981497,3.392451286315918,5060310.114133832976222
8,30,3200,1000,1136100,6.805877208709717,5207409.555599532090127
4,30,50,1000,774151736,0.177430868148804,3315855.112821643240750
4,30,100,1000,2649983388,0.340790271759033,4135845.837775046471506
4,30,200,1000,230847744,0.668959140777588,4950106.276826906949282
4,30,400,1000,2106711018,1.382237195968628,4037353.667741543613374
4,30,800,1000,3982574304,2.862872600555420,5701785.372619263827801
4,30,1600,1000,1563533574,5.956408500671387,5026993.883367073722184
4,30,3200,1000,3439555096,12.227639675140381,4652331.768659819848835
2,30,50,1000,3003641414,0.309308290481567,3007209.205364053603262
2,30,100,1000,1390884318,0.633717060089111,3608477.119676575530320
2,30,200,1000,4073112207,1.306991100311279,4032787.815178589895368
2,30,400,1000,2460372808,2.698943376541138,4976852.663523193448782
2,30,800,1000,847668811,5.680770635604858,5212362.926828595809639
2,30,1600,1000,3529985237,11.561728477478027,4994482.579594685696065
2,30,3200,1000,1917422940,24.051242351531982,4989952.838864235207438
1,30,50,1000,1744294374,0.783546924591064,3044399.666236061602831
1,30,100,1000,1744294374,1.649320363998413,4076112.575456793885678
1,30,200,1000,1744294376,3.464082717895508,4915059.353522508405149
1,30,400,1000,1744294380,7.223334789276123,4984106.149397007189691
1,30,800,1000,1744294387,15.035677194595337,4850818.781518766656518
1,30,1600,1000,1744294402,31.489597082138062,4657060.977265805006027
1,30,3200,1000,1744294434,65.359709739685059,4347563.804432488046587
