n_cores,n_agents,time,best_value,speedup,efficiency
1,50,0.783546924591064,3044399.6662360616,1.0,1.0
1,100,1.649320363998413,4076112.5754567934,1.0,1.0
1,200,3.464082717895508,4915059.353522508,1.0,1.0
1,400,7.223334789276123,4984106.149397007,1.0,1.0
1,800,15.035677194595335,4850818.781518767,1.0,1.0
1,1600,31.489597082138065,4657060.977265805,1.0,1.0
1,3200,65.35970973968506,4347563.804432488,1.0,1.0
2,50,0.309308290481567,3007209.2053640536,2.533223158587658,1.266611579293829
2,100,0.633717060089111,3608477.119676575,2.6026131658290717,1.3013065829145358
2,200,1.306991100311279,4032787.8151785894,2.6504256356990386,1.3252128178495193
2,400,2.698943376541138,4976852.663523193,2.6763565519974972,1.3381782759987486
2,800,5.680770635604858,5212362.926828596,2.64676716577106,1.32338358288553
2,1600,11.561728477478027,4994482.579594686,2.7236063486077406,1.3618031743038703
2,3200,24.051242351531982,4989952.838864235,2.7175190696759106,1.3587595348379553
4,50,0.177430868148804,3315855.1128216432,4.416068820302087,1.1040172050755217
4,100,0.340790271759033,4135845.8377750465,4.839693209214081,1.2099233023035203
4,200,0.668959140777588,4950106.276826907,5.178317339185933,1.2945793347964833
4,400,1.382237195968628,4037353.667741544,5.22582868580254,1.306457171450635
4,800,2.86287260055542,5701785.372619264,5.251954694623259,1.3129886736558147
4,1600,5.956408500671387,5026993.883367074,5.2866751967378764,1.3216687991844691
4,3200,12.22763967514038,4652331.76865982,5.345243356538038,1.3363108391345095
8,50,0.111267805099487,2401422.11937891,7.041991381877961,0.8802489227347451
8,100,0.206295013427734,3708479.861660291,7.994959919747052,0.9993699899683814
8,200,0.402651071548462,4586347.846813976,8.603187629859764,1.0753984537324706
8,400,0.812000274658203,4662153.1811508825,8.895729490136757,1.1119661862670946
8,800,1.61662220954895,5527199.183928997,9.300674644814142,1.1625843306017678
8,1600,3.392451286315918,5060310.114133833,9.282254754595062,1.1602818443243827
8,3200,6.805877208709717,5207409.555599532,9.603421827246894,1.2004277284058618
16,50,0.08543586730957,3074073.257982618,9.171170718639102,0.5731981699149439
16,100,0.144280433654785,3562029.6392525127,11.431351585376346,0.7144594740860216
16,200,0.264171361923218,4108781.8011314217,13.113013812989886,0.8195633633118679
16,400,0.543415784835815,4561502.254124942,13.292464059465159,0.8307790037165724
16,800,1.076932907104492,4268909.824943855,13.961572810530214,0.8725983006581384
16,1600,2.148164749145508,4561170.62725927,14.658837081589727,0.9161773175993579
16,3200,4.137856483459473,4087964.4582489026,15.795547767534169,0.9872217354708855
32,50,0.080892086029053,2330278.9073011414,9.686323632569536,0.302697613517798
32,100,0.125082015991211,2945407.8436195985,13.185911267326425,0.4120597271039508
32,200,0.21912670135498,3867503.1549255666,15.808583328618528,0.494018229019329
32,400,0.425878524780273,4873500.529625649,16.961021439160188,0.5300319199737559
32,800,0.837597370147705,5222091.89996556,17.95096036648717,0.560967511452724
32,1600,1.723130702972412,4974371.711787248,18.27464221246728,0.5710825691396025
32,3200,3.040092706680298,4645935.589531067,21.499248886740748,0.6718515277106484
64,50,0.0839524269104,2664819.387927383,9.333225416191016,0.14583164712798463
64,100,0.121040821075439,3150043.3458648357,13.626149833951226,0.2129085911554879
64,200,0.209689140319824,4789944.089954789,16.520086412734525,0.25812635019897695
64,400,0.398818016052246,4171532.586670612,18.11185678314455,0.2829977622366336
64,800,0.756226062774658,4037985.308058253,19.88251653140352,0.31066432080318
64,1600,1.599687337875366,4029458.864293339,19.68484486722334,0.3075757010503647
64,3200,2.781844139099121,4762081.302059425,23.495101260723867,0.36711095719881043
