comm_sz,dim,pop_size,n_iter,seed,time,best_value
1,30,400,1000,1743704126,85.037042140960693,12010.533403258987164
1,30,800,1000,1743704211,334.595786571502686,7028.444552150227537
1,30,1600,1000,1743704546,1323.778302192687988,2439.864370310168852
1,30,3200,1000,1743705870,5271.927708387374878,583.821403157513373
1,30,50,1000,1743704096,1.328222513198853,145236.748492628888926
1,30,100,1000,1743704098,4.854359388351440,145384.432120898185531
1,30,200,1000,1743704103,18.347495079040527,41005.794663827393379
1,30,400,1000,1743704121,70.832339286804199,19224.174098560353741
1,30,800,1000,1743704192,277.855482101440430,5220.680020053390763
1,30,1600,1000,1743704470,1101.354131460189819,3518.793830498064835
1,30,3200,1000,1743705572,4372.149609565734863,964.449409297552165
64,30,50,1000,1562189974,0.105854272842407,134030.565490395150846
64,30,100,1000,682754848,0.216855287551880,85603.890847110247705
64,30,200,1000,4098347660,0.555503606796265,25212.886041588270018
64,30,400,1000,3218912600,1.687758207321167,16483.211106666254636
64,30,800,1000,2339599088,5.782019138336182,6872.411796539763600
64,30,1600,1000,1460529200,23.173440694808960,1903.525138701875903
64,30,3200,1000,582556412,81.110258102416992,1381.320744350967743
64,30,50,1000,3754203594,0.105379104614258,78569.193572371892515
64,30,100,1000,2874767808,0.216432094573975,51722.337116525850433
64,30,200,1000,1995375416,0.621913194656372,34325.640931825393636
64,30,400,1000,1115939696,1.704223871231079,15413.046474547172693
64,30,800,1000,236591028,5.904759407043457,4725.652572721540309
64,30,1600,1000,3652384288,21.021864891052246,3069.100198722535424
64,30,3200,1000,2773865914,81.629959821701050,864.837297384609315
64,30,50,1000,2769391916,0.119283199310303,120522.423831978303497
64,30,100,1000,1889956130,0.481446504592896,78710.520587031234754
64,30,200,1000,1010547168,0.634372711181641,20291.181115007533663
64,30,400,1000,131138338,1.835265398025513,14000.143271487777383
64,30,800,1000,3546723892,6.218970060348511,10131.459089481388219
64,30,1600,1000,2667450502,22.257373094558716,3381.774157561444099
64,30,3200,1000,1788638400,89.547502517700195,978.508326309986842
64,30,50,1000,386521131,0.110412120819092,157136.339050684327958
64,30,100,1000,3802052641,0.221578121185303,85143.118836723966524
64,30,200,1000,2922650700,0.562999010086060,19008.044520929142891
64,30,400,1000,2043214980,1.725404500961304,17562.044007676151523
64,30,800,1000,1163847214,5.839654922485352,10583.858475586190252
64,30,1600,1000,284615884,21.250596761703491,771.167075210822759
64,30,3200,1000,3700864277,82.389733314514160,1150.939332283070598
64,30,50,1000,1465171238,0.105295658111572,76306.014401643915335
64,30,100,1000,585735452,0.221330404281616,122434.660555373484385
64,30,200,1000,4001266962,0.569444894790649,32484.444361020126962
64,30,400,1000,3121877152,1.742928266525269,20104.410707129543880
64,30,800,1000,2242533516,5.817912817001343,7787.056197115654868
64,30,1600,1000,1363374576,21.149480342864990,2432.507069370417867
64,30,3200,1000,484909038,83.901057720184326,1573.891107000620423
