n_cores,n_agents,time,best_value,speedup,efficiency
1,50,1.376481628417969,145236.7484926289,1.0,1.0
1,100,5.055487012863159,145384.4321208982,1.0,1.0
1,200,19.052585697174074,43321.42751956715,1.0,1.0
1,400,73.6753987312317,17781.44595950008,1.0,1.0
1,800,289.4869575500488,5661.424146327302,1.0,1.0
1,1600,1145.2475741386413,3172.378478602116,1.0,1.0
1,3200,4552.875566959381,1094.0036317861461,1.0,1.0
2,50,0.6534075260162355,159848.46360971854,2.1066204070379304,1.0533102035189652
2,100,2.402441644668579,88975.44563208436,2.1043120960220336,1.0521560480110168
2,200,9.214508008956908,31955.349393189583,2.0676725961553366,1.0338362980776683
2,400,36.016890382766725,14899.779414768385,2.045579114361403,1.0227895571807015
2,800,142.83466324806213,7936.655726666683,2.0267276231631146,1.0133638115815573
2,1600,566.0905522346496,2552.9220807956667,2.0230819426640525,1.0115409713320263
2,3200,2258.580688524246,1267.4774754959278,2.0158126694752823,1.0079063347376411
4,50,0.35268898010253896,124032.77248933678,3.9028200654802934,0.9757050163700733
4,100,1.2062952518463137,81374.23982030967,4.190920096158387,1.0477300240395968
4,200,4.557997846603394,35969.405858584585,4.18003393998354,1.045008484995885
4,400,17.77111382484436,15774.199190486539,4.1457952189936496,1.0364488047484124
4,800,73.98055310249329,9096.122377425836,3.9130142369845644,0.9782535592461411
4,1600,278.09384870529175,2315.5570430549496,4.118205344960041,1.0295513362400102
4,3200,1108.4809838294982,1054.697521785602,4.10731048468729,1.0268276211718226
8,50,0.18848891258239758,134948.09657068606,7.302719345978733,0.9128399182473417
8,100,0.6010783672332763,70630.1296238115,8.410695324360496,1.051336915545062
8,200,2.1388032913208006,38637.11641189734,8.908058901203722,1.1135073626504652
8,400,8.205146312713623,19846.399583445214,8.979169404581356,1.1223961755726695
8,800,32.3229160785675,7089.901150035186,8.95609037397465,1.1195112967468313
8,1600,128.64820780754087,3524.312114051275,8.90216500996224,1.11277062624528
8,3200,516.8474838256836,1048.7199185965687,8.80893437510653,1.1011167968883162
16,50,0.15293602943420442,112613.49668349019,9.00037508172758,0.5625234426079737
16,100,0.42091083526611317,68138.95418758233,12.010826496464317,0.7506766560290198
16,200,1.369324254989624,34496.69734852444,13.913859794529413,0.8696162371580883
16,400,5.009483003616333,14427.739836706798,14.707186086477508,0.9191991304048442
16,800,19.470949745178224,7680.4383044907445,14.867634159537452,0.9292271349710908
16,1600,76.9804874420166,2739.8859032042,14.877115126106043,0.9298196953816277
16,3200,313.269092464447,1303.7605510907683,14.533433640524523,0.9083396025327827
32,50,0.12643146514892561,126446.3014779381,10.887176121834779,0.34022425380733684
32,100,0.309067678451538,62407.87458067494,16.357216769452204,0.5111630240453814
32,200,0.8968364715576171,36460.510492774156,21.244213746218104,0.6638816795693158
32,400,3.015101051330566,16263.701211697844,24.4354658357864,0.763608307368325
32,800,10.714566564559936,8645.812082520268,27.018074488199186,0.8443148277562246
32,1600,41.728309345245364,2884.6847196221597,27.445338479047052,0.8576668274702204
32,3200,163.5566041469574,1057.4979734628243,27.836696602410335,0.869896768825323
64,50,0.10924487113952641,113312.90726941472,12.599965692301847,0.19687446394221636
64,100,0.271528482437134,84722.90558855295,18.61862507935475,0.29091601686491797
64,200,0.5888466835021974,26264.439394074096,32.355766332685775,0.5055588489482152
64,400,1.7391160488128663,16712.571113501377,42.36370470016827,0.6619328859401292
64,800,5.912663269042969,8020.087626288907,48.96050127963833,0.7650078324943489
64,1600,21.77055115699768,2311.6147279134193,52.60535509090801,0.8219586732954377
64,3200,83.71570229530334,1189.899361465851,54.3849653306296,0.8497650832910875
